pos;feat_attrs;norm;sublinear_tf;class_weight;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;mean_fit_time;rank_test_score
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['text', 'upos'];l2;False;balanced;0.6611320912523515;0.6922475897596999;0.6739822650282832;0.6778146462724158;0.681207719019879;0.677276862266526;0.8975735187530518;37
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma', 'upos'];l1;True;None;0.6511207264779645;0.6490621897926658;0.655266902710328;0.6561022290586646;0.6413369898718349;0.6505778075822916;0.9285263061523438;60
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma', 'upos'];l1;False;None;0.6481369394898077;0.6456065039900978;0.6504190137498695;0.6546113274804608;0.6427593955249329;0.6483066360470338;0.9060795307159424;64
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma', 'upos'];l2;True;None;0.6670336506476753;0.6818456893442486;0.6676751209357478;0.672740143513422;0.6709577171296834;0.6720504643141554;0.8753633975982666;45
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma', 'upos'];l2;False;None;0.6653247026161399;0.6801267548961101;0.6624413109859763;0.6704809948522932;0.6717148585655704;0.6700177243832179;0.8874570369720459;47
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma', 'upos'];l1;True;None;0.6511349827109751;0.650059379592395;0.6581082518677528;0.6566195084658532;0.64614816813877;0.6524140581551492;0.9115789413452149;59
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma', 'upos'];l1;False;None;0.6457540121172669;0.6480375640750867;0.6508910370566433;0.6570551983128488;0.6456683899504148;0.649481240302452;0.8965060234069824;62
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma', 'upos'];l2;True;None;0.6678882194365348;0.6795592541309003;0.664479621535066;0.6685201385344248;0.6718286837706784;0.6704551834815209;0.8841773509979248;46
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma', 'upos'];l2;False;None;0.664920268405554;0.6793717895579797;0.6643132780528657;0.668045387903316;0.6708294111587503;0.6694960270156931;0.8898461341857911;49
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma', 'upos'];l1;True;balanced;0.6780290833564775;0.6895822250755423;0.6826764162412573;0.693324640895918;0.6880478425177304;0.686332041617385;0.9801254749298096;20
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma', 'upos'];l1;False;balanced;0.6741721177664309;0.6833372513085298;0.6855349103146093;0.6899847675246611;0.6834288333398171;0.6832915760508097;0.9489857196807862;24
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma', 'upos'];l2;True;balanced;0.6638783161822208;0.6813102845681966;0.6723714840117044;0.6740614999092549;0.6805523845559469;0.6744347938454647;0.9037638187408448;43
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma', 'upos'];l2;False;balanced;0.6633919737472017;0.679456051231167;0.6721844875758706;0.6748970176910025;0.6806728634371906;0.6741204787364865;0.9058791160583496;44
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma', 'upos'];l1;True;balanced;0.6797576564593804;0.6904033969116941;0.6831792848350865;0.6927340192487659;0.6893132878297417;0.6870775290569336;0.9453243255615235;19
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma', 'upos'];l1;False;balanced;0.6764097098088183;0.6828959961157895;0.684541468236095;0.6894493655502673;0.6842594386565606;0.683511195673506;0.9530690670013428;23
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma', 'upos'];l2;True;balanced;0.6653527200021198;0.683724053671729;0.6747575006432851;0.673139841045318;0.6800150837799732;0.675397839828485;0.8895161151885986;40
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma', 'upos'];l2;False;balanced;0.6639834626918819;0.6791109978720282;0.6744581360575648;0.6744002646822955;0.6843083413141956;0.6752522405235932;0.8838414192199707;41
