pos;ngram_range;min_df;norm;sublinear_tf;class_weight;penalty;C;fit_intercept;intercept_scaling;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;mean_fit_time;rank_test_score
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 1);5;l2;True;None;l2;0.1;True;1.0;0.6266091807126671;0.6373617730211315;0.6318522611953579;0.6291343023839524;0.6425359830707775;0.6334987000767773;0.5422080993652344;51
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 1);5;l2;False;None;l2;0.1;True;1.0;0.6264698270223571;0.6318087050403364;0.6298269984379851;0.6277299074797446;0.6392207004683442;0.6310112276897535;0.6283952713012695;63
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 2);5;l1;True;None;l2;0.1;True;1.0;0.5490850105641081;0.5503752217909326;0.5405025838821221;0.5691559365915121;0.5554959590623038;0.5529229423781958;0.6363451480865479;245
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 2);5;l1;False;None;l2;0.1;True;1.0;0.5470176710510476;0.54880521485279;0.5389473778576478;0.5686366898937479;0.553045136575448;0.5512904180461362;0.6217117786407471;247
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 2);5;l2;True;None;l2;0.1;True;1.0;0.6303580012099952;0.6352295230989122;0.6304537304667884;0.6344345232137311;0.6430056236562001;0.6346962803291254;0.6284767150878906;47
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 2);5;l2;False;None;l2;0.1;True;1.0;0.6288973491534943;0.6344946149030335;0.6284596135179342;0.6301400081717257;0.6395678622144401;0.6323118895921255;0.6439657211303711;55
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);1;l1;True;None;l2;0.1;True;1.0;0.5244322443769315;0.5258528962342128;0.5189112825163397;0.5518037579487379;0.531076497365812;0.5304153356884068;0.5273642063140869;249
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);1;l1;False;None;l2;0.1;True;1.0;0.5247367014617986;0.5253034564865291;0.5184348030992962;0.5508380855754563;0.5316110348496337;0.5301848162945428;0.5486310005187989;251
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);1;l2;True;None;l2;0.1;True;1.0;0.6208156860796255;0.6271362251313538;0.6328852729830484;0.6335472044898108;0.6340165985460984;0.6296801974459874;0.573304271697998;75
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);1;l2;False;None;l2;0.1;True;1.0;0.6206704553703013;0.625499482765359;0.628461478381201;0.6335413813858454;0.6338834372006754;0.6284112470206764;0.6459282398223877;81
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);1;l1;True;None;l2;0.1;True;1.0;0.4788301676775416;0.48542485638483535;0.46816012895596426;0.49725995576469656;0.48202388657304196;0.48233979907121594;0.729468584060669;253
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);1;l1;False;None;l2;0.1;True;1.0;0.47775288078868744;0.4843722322331155;0.46865317774826437;0.497796133904222;0.48256973848682083;0.48222883263222205;0.718422269821167;255
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);1;l2;True;None;l2;0.1;True;1.0;0.616475679197218;0.6176988147597957;0.6129755673986017;0.629750770236128;0.6159499056204988;0.6185701474424484;0.7341334819793701;135
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);1;l2;False;None;l2;0.1;True;1.0;0.6153511913736883;0.6145862753768796;0.6128510908403706;0.6273091455744313;0.6178457789567879;0.6175886964244316;0.6963781833648681;145
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);5;l1;True;None;l2;0.1;True;1.0;0.5571710520823044;0.5568775844660181;0.5487968681457442;0.5750620080915301;0.561867726871156;0.5599550479313506;0.548953628540039;241
