ngram_range;min_df;max_df;norm;sublinear_tf;penalty;C;fit_intercept;intercept_scaling;class_weight;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;mean_fit_time;rank_test_score
(2, 2);1;0.001;l2;True;l2;0.01;True;0.1;None;0.08671046806246745;0.05568677679938914;0.0577172827581494;0.07468762432187;0.07053441014802282;0.06906731241797975;0.1472013473510742;126
(2, 2);3;1.0;l2;True;l2;1000.0;False;None;balanced;0.062485378592892854;0.07403252185959935;0.06961909314229592;0.07565197169349892;0.07169149684930218;0.07069609242751784;2.764929008483887;123
(1, 1);3;0.01;None;True;l1;1000.0;True;100;None;0.42011585300572496;0.43674632537719843;0.39755538500308996;0.4140536239165862;0.42308889232423136;0.41831201592536615;2.456536960601807;71
(1, 1);25;0.01;l2;True;l2;1000.0;True;10;balanced;0.4124870104850619;0.4106805998785681;0.410152278471588;0.4103565118493639;0.40013055660056185;0.40876139145702883;0.20568108558654785;76
(2, 2);5;1.0;l1;False;l1;10.0;True;0.01;balanced;0.08239009216967397;0.08953935832394229;0.09071420391767736;0.08199928383132962;0.09984771608094271;0.0888981308647132;0.07884864807128907;107
(1, 1);25;0.1;l2;True;l2;1000.0;True;10;None;0.5285338967232522;0.5290593170650648;0.54698438351069;0.5429528687649849;0.5472444061490809;0.5389549744426146;0.1862783908843994;32
(1, 2);10;0.01;l1;True;l1;0.1;True;1;balanced;0.5156057543345015;0.5097421597320739;0.48317357059213456;0.5116391969695815;0.49308508742555396;0.5026491538107691;0.09776501655578614;46
(1, 1);25;0.001;l1;True;l2;1000.0;True;1000;balanced;None;None;None;None;None;None;0.03156003952026367;185
(3, 3);25;0.01;l2;False;l1;0.01;True;0.01;None;0.0;0.0;0.0;0.0;0.0;0.0;0.0597191333770752;164
(1, 3);25;0.1;None;True;l2;1000.0;True;1;balanced;0.5259042878591309;0.5301289598461605;0.5380097125939697;0.5335524282602598;0.5337609937948731;0.5322712764708788;0.4033978939056396;38
(2, 2);10;0.01;None;False;l2;100.0;True;100;balanced;0.06752159497992012;0.08746915012956205;0.07472702456916233;0.08952483184116816;0.08335453908996589;0.0805194281219557;0.13960461616516112;114
(1, 1);25;0.001;l2;True;l2;0.001;True;0.1;None;None;None;None;None;None;None;0.05310015678405762;185
(1, 2);3;1.0;l1;False;l1;0.001;True;0.1;balanced;0.0;0.0;0.0;0.0;0.0;0.0;0.16774492263793944;164
(1, 1);3;0.01;l1;False;l2;1000.0;True;10;None;0.4161028758583293;0.4071984677509037;0.40960755045502756;0.41627596817426815;0.41836549852762944;0.4135100721532316;0.7525300979614258;74
(1, 3);5;0.001;None;True;l1;1.0;True;0.1;balanced;0.09581494123492093;0.08438745677057344;0.08881537322469177;0.0688107293429463;0.090688589721489;0.08570341805892427;0.3653403759002686;109
(2, 3);10;1.0;l2;False;l2;10.0;True;0.01;balanced;0.06286506116101707;0.08461180107429007;0.08210506709537131;0.08936192690434337;0.08905989923094551;0.08160075109319347;0.1646796703338623;112
(3, 3);3;1.0;None;False;l1;1.0;True;0.001;None;0.009764470457078159;0.012180175713192798;0.0018675935931589855;-0.005394823417803927;-0.0019383651382571614;0.0032958102414737704;0.06537895202636719;157
(1, 2);5;0.1;l1;True;l2;1.0;True;100;None;0.5933431549158287;0.5945780499501901;0.6015726545699099;0.5943584573052576;0.6055429710526392;0.597879057558765;0.18181729316711426;5
(1, 2);1;0.1;l2;False;l1;100.0;True;100;balanced;0.5799832053361387;0.5726451209212214;0.5683735954162866;0.5918659980662466;0.6000679530214054;0.5825871745522598;5.135045194625855;11
(2, 3);3;1.0;l2;False;l1;0.1;True;0.001;balanced;0.08347412263451072;0.08583067771223793;0.07787863074688449;0.07147655389588393;0.07612875266618982;0.07895774753114138;0.10476269721984863;116
(1, 1);10;0.1;l2;False;l1;0.01;True;1000;balanced;0.29038938726174696;0.29181292629742767;0.2936877742152557;0.2952989886583233;0.29220801122803935;0.29267941753215865;0.04906649589538574;79
(2, 3);25;0.001;l2;False;l2;0.1;True;0.01;balanced;None;None;None;None;None;None;0.0689610481262207;185
(2, 2);25;0.1;l1;True;l1;1.0;True;1;None;0.052199129404828855;0.06166972058287572;0.08013824014898904;0.026844937523094983;0.056167373436852734;0.05540388021932827;0.06915469169616699;137
(1, 2);10;1.0;l1;True;l1;10.0;False;None;balanced;0.5353349450596488;0.5498065853791085;0.5389733536546798;0.535379653031427;0.5497937390794037;0.5418576552408536;0.3914660930633545;28
(3, 3);1;0.01;l1;True;l2;1.0;True;10;None;0.049159014763630896;0.04590992766417148;0.02730038804671836;0.010104428170219002;0.03583168438107578;0.033661088605163106;0.21425061225891112;148
(2, 3);1;0.1;None;True;l2;10.0;True;0.01;balanced;0.1544534807090138;0.15536760156316973;0.14969207259914488;0.16222147541046553;0.17111451085762822;0.1585698282278844;160.06199426651;85
(2, 3);5;0.001;None;True;l2;0.01;True;10;None;0.0471021981050897;0.04090123025870827;0.023329512030060697;0.004120964428995914;0.03818365103345496;0.030727511171261906;0.1233400821685791;149
(3, 3);25;0.1;l2;False;l1;100.0;True;0.01;balanced;0.0008343590136110199;-0.0016317171531592092;0.021144216450100412;-0.005403883747590295;-0.007229317130836127;0.0015427314864251598;0.06911959648132324;161
(1, 1);3;1.0;l2;False;l2;100.0;True;0.001;balanced;0.4915339548318651;0.513329763083362;0.49416798842600634;0.4898631068299747;0.5034107250994163;0.4984611076541249;1.6369325160980224;49
(1, 3);25;0.001;l2;True;l2;1000.0;True;0.001;balanced;None;None;None;None;None;None;0.09401674270629883;185
(2, 2);5;0.001;None;True;l2;10.0;True;1000;None;0.05125641274601428;0.046080481695598745;0.02443203972397739;0.0068444816063674835;0.04110801148130992;0.03394428545065357;0.08287453651428223;147
(2, 2);1;0.01;None;True;l1;0.001;True;100;None;0.0;0.0;0.0;0.0;0.0;0.0;0.11888494491577148;164
(2, 3);3;0.01;None;True;l2;0.1;True;1;balanced;0.0947257908001341;0.10404983731064249;0.09984537915913606;0.10372238228180436;0.10658879368206949;0.10178643664675731;0.26939735412597654;101
(2, 3);5;0.1;l1;False;l1;0.1;True;0.001;balanced;0.07201326154766198;0.08341299136338393;0.0759847391272242;0.0653567437755226;0.07266025955041942;0.07388559907284242;0.10128355026245117;120
(2, 2);1;0.1;l2;False;l1;1000.0;True;1;None;0.14765795349718677;0.15164721734085665;0.14223140005131618;0.13641410526579814;0.14236809254795188;0.1440637537406219;6.787581825256348;92
(2, 3);3;0.1;None;False;l1;100.0;False;None;balanced;0.06490960313533554;0.07429342214074755;0.06730589629126972;0.07440791515321128;0.07766727730818368;0.07171682280574955;0.16947488784790038;121
(2, 2);5;1.0;l1;False;l2;1.0;True;1000;None;0.0;0.0;0.0;0.0;0.0;0.0;0.07757668495178223;164
(1, 2);3;1.0;l2;True;l1;10.0;True;100;balanced;0.5091199920896818;0.522780612785107;0.5083507501926448;0.5127056493747544;0.5330795486057829;0.5172073106095942;1.7786375522613525;43
(1, 3);10;0.01;l2;False;l1;100.0;True;1000;None;0.4722817932338118;0.4724654892596684;0.4707534089975323;0.4628170880611869;0.4709430411153589;0.4698521641335116;0.27106637954711915;55
(3, 3);5;0.001;l2;True;l2;100.0;True;100;balanced;0.005716103237866156;-0.0007665280929968554;0.0044631676462181125;-0.0019487440028226992;0.002233138060599693;0.0019394273697728812;0.06629481315612792;160
(2, 2);10;0.1;None;True;l2;0.001;False;None;balanced;0.04422778187202072;0.0669810878669758;0.05818501123173357;0.0544698760525064;0.06183691811486317;0.05714013502761994;0.07802982330322265;136
(3, 3);10;0.001;l2;True;l2;0.01;True;1;None;0.0;0.0;0.0;None;0.0003421456294820217;None;0.06193280220031738;185
(1, 1);10;0.1;None;True;l2;100.0;True;1;None;0.56436004062132;0.5650923062526937;0.5779434484326561;0.5716787704836293;0.5777133873260881;0.5713575906232775;1.226374340057373;16
(2, 3);3;0.01;None;False;l2;100.0;True;1;None;0.09054898930188535;0.0814541585168465;0.0942447273280696;0.0659677407469177;0.11410533127597425;0.08926418943393868;0.24379892349243165;106
(2, 2);10;0.1;l2;False;l2;10.0;True;100;None;0.05502925778038185;0.08061614469062257;0.06601728633941056;0.053762956921839376;0.07241848447678689;0.06556882604180825;0.08404984474182128;131
(3, 3);10;0.001;None;True;l1;0.01;True;1;balanced;0.0;0.0;0.0;None;0.0;None;0.06299834251403809;185
(2, 3);5;1.0;l1;True;l1;100.0;True;1000;None;0.07928697469958787;0.081200754982298;0.07450738321964978;0.03945598368107925;0.0811220859798024;0.07111463651248347;0.10806574821472167;122
(1, 3);25;1.0;None;False;l2;1.0;True;1000;balanced;0.5304971309879505;0.5341566507242158;0.539727820974919;0.5338836792033177;0.530841017016396;0.5338212597813599;0.23289928436279297;35
(2, 3);25;0.01;l1;False;l2;0.01;True;0.01;None;0.04722725824775134;0.07286557735356815;0.08013824014898904;0.03798585472307816;0.060941427812831336;0.0598316716572436;0.10652580261230468;134
(2, 2);1;0.001;l2;True;l2;100.0;False;None;None;0.1208875001501537;0.12767528135183204;0.10878569228499761;0.12159539722968853;0.12274976287506804;0.12033872677834798;2.614572620391846;97
(1, 1);25;0.1;None;True;l2;10.0;True;0.01;balanced;0.5277359309511845;0.5319071922025669;0.535517063927239;0.5418492975644783;0.5262367340952361;0.532649243748141;4.928612565994262;36
(1, 3);25;0.1;None;True;l2;10.0;True;1;None;0.5279936707874023;0.5330609165951851;0.553922196575728;0.5421417796934797;0.5470308540289348;0.540829883536146;0.519781494140625;30
