ngram_range;min_df;max_df;norm;sublinear_tf;penalty;C;fit_intercept;intercept_scaling;class_weight;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;mean_fit_time;rank_test_score
(1, 2);25;1.0;l1;True;l2;1.0;True;100;None;0.525988489397829;0.5199226111436219;0.5423457437904422;0.5334080044761277;0.5404942434036311;0.5324318184423303;0.25562729835510256;37
(1, 1);10;0.01;l1;True;l2;0.001;True;0.1;None;0.28879266748353377;0.2953668050750069;0.2861979783190731;0.299005120124377;0.30249943076772523;0.29437240035394324;0.09437155723571777;78
(2, 3);1;1.0;l1;True;l2;0.1;True;0.001;None;0.1626068463184618;0.1586835820618644;0.15413597899186318;0.14422733600716384;0.15747961587497186;0.155426671850865;0.4894089221954346;87
(2, 2);1;0.01;None;False;l2;10.0;True;10;None;0.1584231198101895;0.15332417632943054;0.1445876614098852;0.14486626803514063;0.15015356698093754;0.1502709585131167;0.7700241088867188;88
(1, 1);3;1.0;l1;False;l1;0.001;False;None;None;0.0;0.0;0.0;0.0;0.0;0.0;0.07410106658935547;164
(1, 2);25;0.001;l1;True;l1;0.001;True;1000;None;None;None;None;None;None;None;0.10707740783691407;185
(2, 3);25;0.001;None;False;l2;10.0;False;None;balanced;None;None;None;None;None;None;0.11221303939819335;185
(1, 1);10;0.1;None;True;l1;1.0;True;100;None;0.5800864167267391;0.5707280980266978;0.5877939861024968;0.5889771025191533;0.5880023931329513;0.5831175993016077;0.2743200778961182;10
(1, 2);3;0.1;None;False;l1;1000.0;True;0.1;None;0.46356775801473726;0.4713599103352536;0.44448792519396374;0.4576335781281886;0.4792885798304969;0.4632675503005281;45.07110252380371;56
(1, 2);10;1.0;None;True;l1;100.0;True;1000;balanced;0.5570425476982703;0.5587447532562899;0.552207171019023;0.5502933530343167;0.5802465501817908;0.5597068750379381;0.5431627750396728;20
(1, 2);10;0.1;None;False;l1;10.0;False;None;balanced;0.5405391731849354;0.5538841739842449;0.5445453529916141;0.5474063583664223;0.5641131529524037;0.5500976422959241;2.9905550956726072;25
(2, 2);25;0.1;l1;True;l1;1000.0;True;0.1;None;0.052199129404828855;0.06166972058287572;0.08013824014898904;0.026844937523094983;0.056167373436852734;0.05540388021932827;0.08380665779113769;137
(2, 3);10;0.01;l1;False;l2;0.1;True;100;None;0.053619941151500865;0.07942598292202677;0.06691534828771593;0.05205456090753508;0.0773137591219717;0.06586591847815007;0.12970614433288574;130
(1, 3);3;1.0;l2;False;l2;0.001;True;10;balanced;0.4195456174252677;0.40216600763090665;0.4047928550437185;0.4271099901498137;0.42067858676228664;0.41485861140239866;0.23996443748474122;73
(2, 3);25;0.01;l1;True;l2;100.0;True;1000;None;0.0;0.0;0.0;0.0;0.0;0.0;0.19618988037109375;164
(1, 2);25;1.0;None;True;l2;100.0;True;1;None;0.5279936707874023;0.5330609165951851;0.553922196575728;0.541691623914358;0.5470308540289348;0.5407398523803216;0.47019319534301757;31
(2, 2);25;0.001;None;False;l2;1.0;True;1000;balanced;None;None;None;None;None;None;0.09203824996948243;185
(2, 3);5;1.0;l2;True;l2;0.01;True;1;balanced;0.07669363893848537;0.07073759477198713;0.06462146235601232;0.05282472984155822;0.0756610378085631;0.06810769274332122;0.20254063606262207;128
(2, 2);1;0.001;l2;False;l2;0.001;True;1000;balanced;0.0;0.0;0.0;0.0;0.0;0.0;0.2592294692993164;164
(1, 1);10;0.1;l2;False;l2;1.0;True;100;balanced;0.5983243773939245;0.5836064520971547;0.5945545186884347;0.5891551629208089;0.5975582665734444;0.5926397555347535;0.16195993423461913;8
(1, 1);5;0.1;l1;False;l2;0.1;True;0.01;balanced;0.619982384337201;0.6192730721101605;0.6188707673054475;0.6306516942516396;0.6212650496274731;0.6220085935263844;0.1104804515838623;4
(1, 2);25;0.01;l1;True;l2;0.001;True;1000;None;0.21738356704705222;0.2130757267487476;0.20794750706961215;0.22798501188241516;0.23062173505108194;0.21940270955978183;0.15576162338256835;81
(1, 3);25;0.01;l1;False;l2;0.01;True;10;balanced;0.4183120339340745;0.41694835781794437;0.418719397910851;0.4139404193825122;0.43342597429745494;0.42026923666856747;0.2057640552520752;70
(1, 2);10;1.0;l2;False;l2;10.0;True;100;balanced;0.5706577421829283;0.5727021306103763;0.5651815874255938;0.5701506918072123;0.5810189201967474;0.5719422144445716;0.23823609352111816;15
(2, 2);1;0.001;l1;True;l1;0.001;True;0.01;balanced;0.0;0.0;0.0;0.0;0.0;0.0;0.21931991577148438;164
(1, 1);5;0.001;l2;False;l1;0.1;True;0.001;None;0.08057024894886179;0.08831530972505737;0.08426776708935205;0.06617038461293026;0.09108045603264514;0.08208083328176932;0.05201568603515625;111
(1, 3);10;1.0;None;False;l1;10.0;True;0.001;balanced;0.5550303410875976;0.5609287437651915;0.5586784665215584;0.5542416931308562;0.5765622518828158;0.561088299277604;4.069563627243042;19
(1, 2);10;0.01;l1;True;l2;0.001;True;0.001;None;0.4667740299252025;0.4736497612124501;0.46721294368654315;0.46835046867804436;0.48740377307879795;0.47267819531620764;0.11433758735656738;54
(1, 2);25;0.001;None;False;l2;0.1;True;1;balanced;None;None;None;None;None;None;0.07710590362548828;185
(2, 3);1;0.01;l1;False;l1;0.01;True;0.1;None;0.0;0.0;0.0;0.0;0.0;0.0;0.24008650779724122;164
(1, 1);1;1.0;None;True;l2;0.01;True;0.1;None;0.58918186666916;0.5967226574094322;0.602765021052343;0.58746044695471;0.6004249249317588;0.5953109834034809;0.28563385009765624;7
(3, 3);25;1.0;l2;True;l1;10.0;True;0.01;None;0.0;-0.008392384044457664;0.0;-0.007588146406970171;-0.009436331295871729;-0.005083372349459913;0.0733098030090332;183
(2, 2);5;1.0;l2;True;l1;0.001;True;1000;None;0.0;0.0;0.0;0.0;0.0;0.0;0.07946171760559081;164
(1, 2);3;0.1;l2;False;l1;10.0;True;10;None;0.5130074068279363;0.5215083926318164;0.49992925874218086;0.5116240644391655;0.525905250646933;0.5143948746576065;2.223880577087402;44
(2, 2);10;1.0;l2;False;l1;0.001;True;0.01;balanced;0.0;0.0;0.0;0.0;0.0;0.0;0.07827949523925781;164
(3, 3);10;1.0;l2;False;l2;1000.0;True;100;balanced;0.00010257281503511861;-0.0020208205029773724;0.013096745033003945;-0.005403883747590295;-0.008506035985473729;-0.0005462844776004665;0.07009968757629395;178
(2, 3);3;1.0;l2;True;l1;0.01;True;100;balanced;0.07629004611611852;0.08847182519890179;0.06819953032401979;0.0747468094947181;0.07151867770679689;0.07584537776811101;0.11326236724853515;118
(1, 3);5;0.001;l2;True;l2;0.1;True;0.001;balanced;0.09640515134071763;0.09135200177734973;0.09051243877923604;0.07261337226354068;0.08706329532186945;0.08758925189654271;0.15629243850708008;108
