ngram_range;min_df;max_df;norm;sublinear_tf;penalty;tol;C;fit_intercept;intercept_scaling;class_weight;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;mean_fit_time;rank_test_score
None;None;None;None;True;None;None;None;None;None;None;0.6038574208353439;0.6010386269724243;0.6007091952630416;0.6064877294063024;0.6118144044089746;0.6047814753772174;0.20331277847290039;8
None;None;None;None;False;None;None;None;None;None;None;0.60193357896256;0.5992239928228136;0.5982570201673376;0.6024190758296368;0.6115321238109571;0.602673158318661;0.21631808280944825;12
None;None;None;None;None;l1;None;None;None;None;None;0.6173546023200295;0.6279006697162596;0.6241062377607476;0.6318756516334316;0.6392923143087561;0.6281058951478449;0.32976651191711426;2
None;None;None;None;None;l2;None;None;None;None;None;0.60193357896256;0.5992239928228136;0.5982570201673376;0.6024190758296368;0.6115321238109571;0.602673158318661;0.20620265007019042;12
None;None;None;None;None;None;None;0.001;None;None;None;0.41215529857342464;0.39046489402571855;0.40238494680216125;0.4169189401481766;0.40497556382208516;0.4053799286743132;0.08025631904602051;35
None;None;None;None;None;None;None;0.01;None;None;None;0.601942411315584;0.595775301647631;0.6080771295662433;0.6118668599315201;0.6073570282121664;0.6050037461346289;0.09805269241333008;7
None;None;None;None;None;None;None;0.1;None;None;None;0.6246116990503863;0.6244133676890442;0.6333494137999457;0.6433723591266868;0.6428343487906036;0.6337162376913333;0.1403794765472412;1
None;None;None;None;None;None;None;1;None;None;None;0.60193357896256;0.5992239928228136;0.5982570201673376;0.6024190758296368;0.6115321238109571;0.602673158318661;0.18802552223205565;12
None;None;None;None;None;None;None;10;None;None;None;0.5227907328160444;0.5193195847258584;0.5228562065776722;0.5299403079905735;0.5396280556169681;0.5269069775454233;0.43202962875366213;30
None;None;None;None;None;None;None;100;None;None;None;0.46572553277226797;0.47420159367303294;0.4741736598757769;0.4733041528505508;0.4800164126759248;0.4734842703695107;1.8762962341308593;33
None;None;None;None;None;None;None;1000;None;None;None;0.43577124809506146;0.4605270734140214;0.4404092958704666;0.4466862982586646;0.4690440556274281;0.45048759425312845;4.880783176422119;34
None;None;None;None;None;None;None;None;True;0.001;None;0.5966007097616889;0.6013702871594051;0.6054802706268424;0.59936932113132;0.6061590469022862;0.6017959271163085;0.2015683174133301;22
None;None;None;None;None;None;None;None;True;0.01;None;0.5954794556515164;0.5991906750980805;0.604880346045009;0.5996479987252938;0.6075031695357407;0.6013403290111281;0.20898222923278809;23
