ngram_range;min_df;norm;sublinear_tf;penalty;C;intercept_scaling;class_weight;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;mean_fit_time;rank_test_score
(1, 1);3;l2;True;l2;0.01;10.0;None;0.4496572917814991;0.439388958967114;0.4601009237617432;0.45751478814016516;0.45079258522748833;0.45149090957560195;0.11072764396667481;159
(1, 2);1;l1;True;l2;1.0;1.0;None;0.580033900753021;0.5806012842909533;0.5831716893947464;0.5955237859193949;0.5832729036804174;0.5845207128077066;0.42006497383117675;122
(1, 2);5;l1;True;l1;0.01;100.0;balanced;0.20293728075080972;0.19916129368320104;0.20597410304676939;0.20946808777690312;0.2014767097700169;0.20380349500554001;0.10580973625183106;183
(1, 2);3;l1;True;l1;0.01;10.0;None;0.0840898640261708;0.07064276397322879;0.08986898490179206;0.08036144558762215;0.09931493224590945;0.08485559814694466;0.09749321937561035;197
(1, 1);5;l2;True;l1;0.01;0.1;balanced;0.2743598730598128;0.27482944982987095;0.2723660374760349;0.27474690144620356;0.2784020044348067;0.2749408532493458;0.04858732223510742;174
(1, 2);3;l1;False;l2;0.1;1.0;None;0.5155368027988045;0.5110163449438648;0.5081248105687756;0.5300334330690687;0.5084531251768739;0.5146329033114776;0.1372697353363037;147
(1, 3);10;l2;False;l2;0.1;100.0;None;0.6028640628377362;0.5997754739562399;0.6130500790204694;0.5955731294372354;0.6105907684823615;0.6043707027468084;0.1899503231048584;82
(1, 3);3;l1;True;l2;0.01;1.0;balanced;0.5237146633264886;0.5302809853928407;0.5251407087253407;0.5503710550315102;0.5311162940711646;0.532124741309469;0.1900838851928711;138
(1, 1);3;l2;True;l1;1.0;1.0;None;0.6202274883706982;0.6219749639947691;0.6254655709994231;0.6106651933616405;0.6291212106101224;0.6214908854673307;0.2765817165374756;28
(1, 1);1;l2;False;l1;0.1;1.0;None;0.6034770083359517;0.586717942721839;0.6105370927406885;0.6160143701594819;0.6100225517108142;0.605353793133755;0.06762075424194336;77
(1, 3);10;l2;True;l2;0.1;1.0;balanced;0.6178693939333927;0.6132495263913121;0.618849107612595;0.6163599121054466;0.6142186010635311;0.6161093082212555;0.17660093307495117;44
(1, 1);1;l1;False;l2;0.01;0.1;balanced;0.5253004156443516;0.5192358732274209;0.5238620795935565;0.5458997945559803;0.5214082006980139;0.5271412727438646;0.07802314758300781;142
(1, 1);5;l2;False;l1;1.0;1.0;balanced;0.6175834753042853;0.6191774069289273;0.6204416228965801;0.6169460447939478;0.626575962226642;0.6201449024300765;0.34670138359069824;30
(1, 1);5;l2;False;l1;0.1;100.0;balanced;0.6333324463465896;0.6197981447460187;0.6261303422695678;0.6345145258818433;0.6298480924812824;0.6287247103450604;0.053017807006835935;12
(1, 3);5;l2;True;l2;1.0;1.0;None;0.5994674894512428;0.6037492849342717;0.6089463442618154;0.5975743567546664;0.6151472362029666;0.6049769423209927;0.20554943084716798;80
(1, 1);3;l2;False;l2;1.0;100.0;balanced;0.5965867438056518;0.6039485788120569;0.5996567764807118;0.6006412353865808;0.614154809900207;0.6029976288770417;0.1381394863128662;86
(1, 1);1;l1;True;l2;0.01;0.1;balanced;0.5278676199623281;0.5177089897527872;0.5258644548755269;0.5439155775550106;0.5214790986543115;0.5273671481599929;0.08417015075683594;141
(1, 2);3;l2;True;l2;1.0;100.0;balanced;0.6005019498945093;0.6023226813426593;0.5977268135982969;0.6039422817802907;0.6133103164802941;0.6035608086192101;0.17592568397521974;84
(1, 3);1;l1;False;l1;1.0;1.0;None;0.6061376727156867;0.6014680340644689;0.5962330270178632;0.6225029659616679;0.6146512518365609;0.6081985903192495;0.2767790794372559;64
(1, 2);1;l2;True;l1;1.0;100.0;None;0.6291525923450025;0.6384826165011228;0.637110015587467;0.6407476056521556;0.6515562831673267;0.639409822650615;0.3724482536315918;2
